GCF_000005845.2	PRJNA57779	SAMN02604091		reference genome	511145	562	Escherichia coli str. K-12 substr. MG1655	strain=K-12 substr. MG1655		latest	Complete Genome	Major	Full	2013/09/26	ASM584v2	Univ. Wisconsin	GCA_000005845.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2		
GCF_000007445.1	PRJNA224116	SAMN02604094		na	199310	562	Escherichia coli CFT073	strain=CFT073		latest	Complete Genome	Major	Full	2002/12/06	ASM744v1	Univ. Wisconsin	GCA_000007445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/445/GCF_000007445.1_ASM744v1		
GCF_000008865.2	PRJNA57781	SAMN01911278		reference genome	386585	562	Escherichia coli O157:H7 str. Sakai	strain=Sakai substr. RIMD 0509952		latest	Complete Genome	Major	Full	2018/06/08	ASM886v2	GIRC	GCA_000008865.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2		
GCF_000009565.1	PRJNA224116	SAMEA2272558		na	469008	562	Escherichia coli BL21(DE3)	strain=BL21(DE3)		latest	Complete Genome	Major	Full	2010/12/09	ASM956v1	Austrian Center for Biopharmaceutical Technology	GCA_000009565.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/565/GCF_000009565.1_ASM956v1		
GCF_000010245.2	PRJNA224116	SAMD00061081		na	316407	562	Escherichia coli str. K-12 substr. W3110	strain=K-12 substr. W3110		latest	Complete Genome	Major	Full	2006/01/23	ASM1024v1	Nara Institute of Science and Technology	GCA_000010245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/245/GCF_000010245.2_ASM1024v1		
GCF_000010385.1	PRJNA224116	SAMD00061087		na	409438	562	Escherichia coli SE11	strain=SE11		latest	Complete Genome	Major	Full	2008/10/22	ASM1038v1	Kitasato Institute for Life Sciences	GCA_000010385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/385/GCF_000010385.1_ASM1038v1		
GCF_000010485.1	PRJNA224116	SAMD00060923		na	431946	562	Escherichia coli SE15	strain=SE15		latest	Complete Genome	Major	Full	2009/12/14	ASM1048v1	Kitasato University	GCA_000010485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/485/GCF_000010485.1_ASM1048v1		
GCF_000010745.1	PRJNA224116	SAMD00060956		na	585395	562	Escherichia coli O103:H2 str. 12009	strain=12009		latest	Complete Genome	Major	Full	2009/09/10	ASM1074v1	University of Tokyo, Graduate School of Frontier Sciences	GCA_000010745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/745/GCF_000010745.1_ASM1074v1		
GCF_000010765.1	PRJNA224116	SAMD00060957		na	585396	562	Escherichia coli O111:H- str. 11128	strain=11128		latest	Complete Genome	Major	Full	2009/09/10	ASM1076v1	University of Tokyo, Graduate School of Frontier Sciences	GCA_000010765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/765/GCF_000010765.1_ASM1076v1		
GCF_000013265.1	PRJNA224116	SAMN00000110		na	364106	562	Escherichia coli UTI89	strain=UTI89		latest	Complete Genome	Major	Full	2006/04/05	ASM1326v1	Washington University (WashU)	GCA_000013265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/265/GCF_000013265.1_ASM1326v1		
